Variable,N,N (=1),Proportion,Missing
Ceasefire,341,165,0.484,0
Integration of armed forces,341,92,0.27,0
DDR provision,341,121,0.355,0
Withdrawal provision,341,31,0.091,0
Military provisions (any),341,203,0.595,0
Power-sharing (political),341,46,0.135,0
Interim government,341,58,0.17,0
Civil society integration,341,36,0.106,0
Elections provision,341,107,0.314,0
Interim arrangements,341,61,0.179,0
National dialogue,341,33,0.097,0
Government power-sharing,341,52,0.152,0
Political provisions (any),341,186,0.545,0
Autonomy provision,341,23,0.067,0
Federalism provision,341,17,0.05,0
Independence provision,341,2,0.006,0
Local power-sharing,341,22,0.065,0
Regional development,341,56,0.164,0
Cultural provisions,341,43,0.126,0
Demarcation provision,341,7,0.021,0
Local governance,341,60,0.176,0
Territorial provisions (any),341,119,0.349,0
Amnesty provision,341,78,0.229,0
Prisoner release,341,96,0.282,0
Reconciliation provision,341,75,0.22,0
Justice provisions (any),341,175,0.513,0
Reaffirmation of prior agreements,341,104,0.305,0
Outline/framework agreement,341,115,0.337,0
PKO provision,341,49,0.144,0
Gender provisions,341,113,0.331,0
Joint implementation body,341,130,0.381,0
Inclusive process,341,511,1.499,0
Agreement collapsed,123,121,0.984,218
Neighbor at war (binary),341,252,0.739,0
Regime change,340,51,0.15,1
Government victory,310,38,0.123,31
Rebel victory,310,32,0.103,31
