paid,region,gwno,conflict_id,conflict_name,dyad_id,dyad_name,actor_id,actor_name,incompatibility,pa_name,year,pa_date,ended,duration,c_duration,cease,intarmy,ddr,withd,mil_prov,pp,intgov,intciv,elections,interim,natalks,shagov,pol_prov,aut,fed,ind,ref ,shaloc,regdev,cul,demarcation,locgov,terr_prov,amn,pris,recon,return ,justice_prov,reaffirm,outlin,pko,gender,co_impl,termdur,noconf17,linktofulltextagreement,inclusive,no_dyad,pa_type,out_iss,procID,frame,version,dateintervalstart_meta,dateintervalend_meta,span_days,span_years,censor_point,gwno_primary,sign_year,mtnest,lmtnest,gdp_per_capita,gdp_growth,milper,v2x_polyarchy,v2x_regime,v2regdur,v2regendtype,regime_change,v2x_freexp_altinf,v2mecenefm,v2x_partip,v2xlg_legcon,v2x_jucon,v2x_liberal,neighbor_at_war,n_neighbors_at_war,pct_neighbors_at_war,bd_best_total,bd_low_total,bd_high_total,outcome,outcome_label,government_victory,rebel_victory
30,4,432,372,Mali: Azawad,11985,Government of Mali - CMA,"72, 1158","Government of Mali, CMA",1,Accord for peace and reconciliation in Mali emanating from the Algiers process,2015,2015-06-20,,,,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,http://ucdpged.uu.se/peaceagreements/fulltext/Mal%2020150620.pdf,1,1,1,0,122,2,22.1,1975-01-01,2021-12-31,,,2021-12-31,432,2015,0.4000000059604645,0.3364722430706024,813.975661285204,3.18909645758293,4.0,0.543,2.0,483.0,0.0,0.0,0.869,1.476,0.532,0.385,0.63,0.578,1.0,2.0,0.2857142857142857,1091.0,1029.0,1399.0,1,Peace agreement,0.0,0.0
1003,4,516,287,Burundi: Government,,"Government of Burundi - Palipehutu, Government of Burundi - CNDD, Government of Burundi - Frolina","93, 430, 431, 433","Government of Burundi, Palipehutu, CNDD, Frolina",2,Arusha Peace and Reconciliation Agreement for Burundi,2000,2000-08-28,,,"None of the signatories took up the fighting or declared the peace agreement invalid. However, it proved impossible to carry out the provisions of the transitional phase, due to intensification in the fighting between the government and the two extremist groups; the CNDD-FDD and the  PALIPEHUTU-FNL. The fighting between these parties continued immediately after the government had signed the Arusha agreement on 28 August.",1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,0,http://ucdpged.uu.se/peaceagreements/fulltext/Bur%2020000828a.pdf,2,3,1,0,4,2,22.1,1975-01-01,2021-12-31,,,2021-12-31,516,2000,74.49998474121094,4.324132442474365,272.030864788973,-3.35382029606878,40.0,0.187,0.0,1254.0,10.0,0.0,0.524,0.26,0.405,0.454,0.566,0.456,1.0,2.0,0.6666666666666666,11086.0,9740.0,17105.0,5,Low activity,0.0,0.0
1004,4,490,283,DR Congo (Zaire): Government,,"Government of DR Congo (Zaire) - RCD, Government of DR Congo (Zaire) - MLC","425, 89, 424, 423","RCD-ML , Government of DR Congo (Zaire), RCD, MLC",2,Lusaka Accord,1999,1999-08-31,1.0,1999-09-01,"The agreement ended less than a month after the last party to the conflict, the RCD, had signed. In September there were reports of continuous clashes and the parties accused each other of violating the agreement. Attacks were for example reported on 1 September 1999 at Bosange, Elongo, Mokono and Vuema. On 16 September RCD rejected Kabilas invitation to start the inter-Congolese dialouge provided for in the agreement. During the 18 months following the peace agreement, little progress in implementation was made. Fighting went on more or less continuously despite periodic ceasefires and intense diplomatic activity. At the same time, the Lusaka accord was still viewed by the various foreign parties as the basis for a peaceful settlement and their own eventual withdrawal. ",1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,http://ucdpged.uu.se/peaceagreements/fulltext/DRC%2019990710.pdf,1,2,2,5,19,1,22.1,1975-01-01,2021-12-31,1.0,0.002737850787132101,2021-12-31,490,1999,4.199999809265137,1.6486586332321167,406.859287635037,-4.26088113381202,55.0,0.149,0.0,593.0,3.0,0.0,0.568,0.543,0.304,0.155,0.144,0.112,1.0,6.0,0.75,22355.0,20397.0,30059.0,3,Government victory (Side A),1.0,0.0
1005,4,490,283,DR Congo (Zaire): Government,,"Government of DR Congo (Zaire) - RCD, Government of DR Congo (Zaire) - MLC","425, 653, 648, 89, 424, 423","RCD-ML , RCD-N, Mayi Mayi, Government of DR Congo (Zaire), RCD, MLC",2,"Global and Inclusive Agreement on the Transition in the Democratic Republic of Congo (""Pretoria Agreement"")",2002,2002-12-17,,,,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,http://ucdpged.uu.se/peaceagreements/fulltext/DRC%2020021216.pdf,1,2,1,0,19,1,22.1,1975-01-01,2021-12-31,,,2021-12-31,490,2002,4.199999809265137,1.6486586332321167,322.033920024307,-5.1521414670669,81.0,0.163,0.0,349.0,10.0,0.0,0.573,-0.368,0.336,0.25,0.245,0.151,1.0,7.0,0.875,22355.0,20397.0,30059.0,1,Peace agreement,0.0,0.0
1009,4,522,379,Djibouti: Government,810,Government of Djibouti - FRUD,"96, 530","Government of Djibouti, FRUD",2,Accord de paix et de la reconciliation nationale,1994,1994-12-26,,,"In June 1995 Ali Mohamed Daoud, chairman of FRUD was appointed minister of health and social affairs. FRUD Secretary-General Ougoure Kifle Ahmed was given the ministry of agriculture and water resources. ",1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,http://ucdpged.uu.se/peaceagreements/fulltext/dji19941226.pdf,2,1,1,0,20,2,22.1,1975-01-01,2021-12-31,,,2021-12-31,522,1994,3.899999856948853,1.5892351865768433,,,8.0,0.24,1.0,4451.0,13.0,0.0,0.271,-1.3,0.293,0.123,0.198,0.275,1.0,2.0,0.6666666666666666,286.0,201.0,1207.0,1,Peace agreement,0.0,0.0
1010,4,522,379,Djibouti: Government,811,Government of Djibouti - FRUD-C,"96, 531","Government of Djibouti, FRUD-C",2,Accord Cadre de Reforme et de Concorde Civile,2000,2000-02-07,,,,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,http://ucdpged.uu.se/peaceagreements/fulltext/dji20000207.pdf,1,1,2,2,21,2,22.1,1975-01-01,2021-12-31,,,2021-12-31,522,2000,3.899999856948853,1.5892351865768433,,,8.0,0.251,1.0,6642.0,13.0,0.0,0.271,-1.3,0.288,0.127,0.223,0.288,1.0,1.0,0.3333333333333333,286.0,201.0,1207.0,1,Peace agreement,0.0,0.0
1014,4,450,341,Liberia: Government,,"Government of Liberia - INPFL, Government of Liberia - NPFL","71, 79, 508, 507","Government of Gambia, Government of Liberia, INPFL, NPFL",2,Lomé Agreement,1991,1991-02-13,1.0,1991-03-15,"Taylor distanced himself from the Lomé agreement by stating that he did not agree with all aspects of the final communiqué - especially the decision to exclude the leaders of the warring groups from becoming interim president, despite the fact that this provision had been part of the November Bamako agreement.",1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,http://ucdpged.uu.se/peaceagreements/fulltext/Lib%2019910213.pdf,1,2,2,4,28,2,22.1,1975-01-01,2021-12-31,30.0,0.08213552361396304,2021-12-31,450,1991,0.6000000238418579,0.4700036346912384,754.134009462384,-44.5522515525438,5.0,0.198,0.0,39.0,10.0,0.0,0.464,-0.261,0.381,0.771,0.51,0.547,1.0,1.0,0.3333333333333333,3051.0,2950.0,3260.0,4,Rebel victory (Side B),0.0,1.0
1015,4,450,341,Liberia: Government,759,Government of Liberia - NPFL,"697, 79, 507","ULIMO, Government of Liberia, NPFL",2,Cotonou Peace Agreement,1993,1993-07-25,1.0,1994-12-31,"The Cotonou Peace Agreement started to be implemented in 1993 and early 1994, then the order of implementation was disputed as NPFL argued that the government had to be seated before disarmament would occur while the IGNU argued the opposite. The transitional government was installed on 7 March 1994 and on the same date the commencement of the demobilization started. By late 1994 the disarmament and political process of the Cotonou Peace Agreement had come to a standstill. ",1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,3,0,http://ucdpged.uu.se/peaceagreements/fulltext/Lib%2019930725.pdf,1,1,2,3,29,3,22.1,1975-01-01,2021-12-31,524.0,1.434633812457221,2021-12-31,450,1993,0.6000000238418579,0.4700036346912384,450.538677691808,-38.7172836518678,2.0,0.202,0.0,770.0,10.0,0.0,0.499,0.202,0.41,0.771,0.51,0.552,1.0,1.0,0.3333333333333333,3051.0,2950.0,3260.0,4,Rebel victory (Side B),0.0,1.0
1016,4,450,341,Liberia: Government,759,Government of Liberia - NPFL,"696, 7065, 7052, 81, 79, 507","ULIMO - K, ECOWAS, United Nations, Government of Ghana, Government of Liberia, NPFL",2,Akosombo Peace Agreement,1994,1994-09-12,1.0,1994-12-31,The Akosombo agreement was never implemented.,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,4,0,http://ucdpged.uu.se/peaceagreements/fulltext/Lib%2019940912.pdf,1,1,2,3,29,3,22.1,1975-01-01,2021-12-31,110.0,0.3011635865845311,2021-12-31,450,1994,0.6000000238418579,0.4700036346912384,290.388920233659,-35.5462839014456,,0.169,0.0,0.0,9.0,1.0,0.446,-0.268,0.395,0.672,0.495,0.516,1.0,1.0,0.3333333333333333,3051.0,2950.0,3260.0,4,Rebel victory (Side B),0.0,1.0
1017,4,450,341,Liberia: Government,759,Government of Liberia - NPFL,"696, 695, 1116, 79, 507","ULIMO - K, ULIMO - J, LDF, Government of Liberia, NPFL",2,"Abuja Agreement to Supplement the Cotonou and Akosombo, Agreements as subsequently clarified by the Accra Agreement (""Abuja Peace Agreement"")",1995,1995-08-19,1.0,1996-04-01,"8 months. The ceasefire ended in April, when fighting erupted in Monrovia following a standoff between Taylor and Johnsson.",1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,5,0,http://ucdpged.uu.se/peaceagreements/fulltext/Lib%2019950819.pdf,1,1,2,3,29,3,22.1,1975-01-01,2021-12-31,226.0,0.6187542778918549,2021-12-31,450,1995,0.6000000238418579,0.4700036346912384,227.742776021788,-21.5731868011574,,0.166,0.0,299.0,9.0,0.0,0.459,-0.332,0.394,0.496,0.495,0.458,1.0,1.0,0.3333333333333333,3051.0,2950.0,3260.0,4,Rebel victory (Side B),0.0,1.0
